C,participant,context,session,axis,n_outliers,pct_outliers
2.5,Pedro,crowded,session_1,acc_x,29,0.16200212278643653
2.5,Pedro,crowded,session_1,acc_y,31,0.17317468297860455
2.5,Pedro,crowded,session_1,acc_z,1,0.005586280096084017
2.5,Pedro,crowded,session_1,gyro_x,0,0.0
2.5,Pedro,crowded,session_1,gyro_y,0,0.0
2.5,Pedro,crowded,session_1,gyro_z,0,0.0
2.5,Pedro,crowded,session_2,acc_x,0,0.0
2.5,Pedro,crowded,session_2,acc_y,38,0.2122905027932961
2.5,Pedro,crowded,session_2,acc_z,1,0.00558659217877095
2.5,Pedro,crowded,session_2,gyro_x,0,0.0
2.5,Pedro,crowded,session_2,gyro_y,0,0.0
2.5,Pedro,crowded,session_2,gyro_z,0,0.0
2.5,Pedro,normal,session_1,acc_x,2,0.011090778018077969
2.5,Pedro,normal,session_1,acc_y,27,0.14972550324405257
2.5,Pedro,normal,session_1,acc_z,4,0.022181556036155937
2.5,Pedro,normal,session_1,gyro_x,0,0.0
2.5,Pedro,normal,session_1,gyro_y,0,0.0
2.5,Pedro,normal,session_1,gyro_z,0,0.0
2.5,Pedro,normal,session_2,acc_x,2,0.011090163025396473
2.5,Pedro,normal,session_2,acc_y,38,0.210713097482533
2.5,Pedro,normal,session_2,acc_z,4,0.022180326050792946
2.5,Pedro,normal,session_2,gyro_x,0,0.0
2.5,Pedro,normal,session_2,gyro_y,0,0.0
2.5,Pedro,normal,session_2,gyro_z,0,0.0
2.5,Pedro,normal,session_3,acc_x,3,0.01663524453809471
2.5,Pedro,normal,session_3,acc_y,23,0.12753687479205944
2.5,Pedro,normal,session_3,acc_z,3,0.01663524453809471
2.5,Pedro,normal,session_3,gyro_x,0,0.0
2.5,Pedro,normal,session_3,gyro_y,0,0.0
2.5,Pedro,normal,session_3,gyro_z,0,0.0
3.0,Ana,crowded,session_1,acc_x,0,0.0
3.0,Ana,crowded,session_1,acc_y,1,0.005525167136305873
3.0,Ana,crowded,session_1,acc_z,0,0.0
3.0,Ana,crowded,session_1,gyro_x,0,0.0
3.0,Ana,crowded,session_1,gyro_y,0,0.0
3.0,Ana,crowded,session_1,gyro_z,0,0.0
